Date,USD/EUR,AUD/EUR,GBP/EUR,CHF/EUR
1999-01-04,1.1723,1.8749,0.70923,1.6142
1999-01-11,1.1622,1.8317,0.7059,1.6005
1999-01-18,1.1588,1.8209,0.7011,1.6008
1999-01-25,1.1498,1.8274,0.69542,1.6064
1999-02-01,1.1313,1.7613,0.68992,1.6019
1999-02-08,1.1295,1.7447,0.6929,1.5988
1999-02-15,1.1212,1.7552,0.68662,1.5972
1999-02-22,1.1009,1.7446,0.68458,1.5935
1999-03-01,1.0894,1.7507,0.67624,1.5913
1999-03-08,1.0909,1.722,0.67312,1.5965
1999-03-15,1.0949,1.7393,0.67308,1.5991
1999-03-22,1.088,1.7082,0.66708,1.5946
1999-03-29,1.0738,1.6977,0.66652,1.5962
1999-04-05,1.0777,1.7144,0.67376,1.5959
1999-04-12,1.0775,1.6886,0.66752,1.6035
1999-04-19,1.0617,1.6334,0.65872,1.6018
1999-04-26,1.0622,1.6261,0.65788,1.6069
1999-05-03,1.0681,1.6081,0.65774,1.6082
1999-05-10,1.0682,1.5977,0.65922,1.6048
1999-05-17,1.0644,1.6011,0.65866,1.6023
1999-05-24,1.054,1.6109,0.65856,1.5963
1999-05-31,1.0394,1.6051,0.64684,1.5918
1999-06-07,1.0423,1.5752,0.6494,1.592
1999-06-14,1.038,1.577,0.64942,1.5956
1999-06-21,1.0339,1.5752,0.65252,1.5972
1999-06-28,1.0317,1.5567,0.65342,1.6029
1999-07-05,1.0212,1.5338,0.65378,1.6045
1999-07-12,1.0176,1.5398,0.6522,1.6052
1999-07-19,1.0403,1.6002,0.66116,1.6057
1999-07-26,1.066,1.6458,0.66714,1.6001
1999-08-02,1.072,1.6394,0.66252,1.5993
1999-08-09,1.0683,1.643,0.66352,1.6011
1999-08-16,1.0556,1.6418,0.65742,1.6004
1999-08-23,1.0491,1.6528,0.6578,1.6005
1999-08-30,1.0597,1.6566,0.6605,1.5996
1999-09-06,1.0577,1.6323,0.6539,1.5997
1999-09-13,1.0368,1.5925,0.64352,1.6043
1999-09-20,1.0442,1.6121,0.6396,1.6032
1999-09-27,1.0571,1.6157,0.64186,1.5999
1999-10-04,1.0706,1.6202,0.64708,1.5927
1999-10-11,1.0741,1.6446,0.64838,1.5916
1999-10-18,1.0804,1.6676,0.6463,1.5916
1999-10-25,1.0571,1.6352,0.64092,1.6003
1999-11-01,1.0496,1.6418,0.63884,1.6084
1999-11-08,1.0389,1.6222,0.64074,1.6086
1999-11-15,1.0341,1.6115,0.6378,1.6034
1999-11-22,1.0227,1.6086,0.63306,1.6009
1999-11-29,1.0067,1.5856,0.62946,1.6005
1999-12-06,1.0195,1.6016,0.62828,1.5991
1999-12-13,1.0092,1.5817,0.62534,1.6016
1999-12-20,1.0097,1.5693,0.62682,1.6008
1999-12-27,1.0085,1.5592,0.62398,1.6053
