,AUD/EUR
2025-05-27,1.7670844
2025-05-28,1.766629
2025-05-29,1.7659309
2025-05-30,1.7650579
2025-05-31,1.7640086
2025-06-01,1.7627844
2025-06-02,1.7614005
2025-06-03,1.7598712
2025-06-04,1.7582157
2025-06-05,1.7564614
2025-06-06,1.7546288
2025-06-07,1.7527285
2025-06-08,1.7507719
2025-06-09,1.7487643
2025-06-10,1.7467289
2025-06-11,1.7446728
2025-06-12,1.7426026
2025-06-13,1.740505
2025-06-14,1.7383627
2025-06-15,1.7361884
2025-06-16,1.7340101
2025-06-17,1.731834
2025-06-18,1.729634
2025-06-19,1.7273817
2025-06-20,1.7251531
2025-06-21,1.7229369
2025-06-22,1.7207433
2025-06-23,1.7185818
2025-06-24,1.7164536
2025-06-25,1.7143376
