,CHF/EUR
2025-05-27,0.9429877
2025-05-28,0.9429541
2025-05-29,0.9432825
2025-05-30,0.94384617
2025-05-31,0.9445637
2025-06-01,0.9453808
2025-06-02,0.94626313
2025-06-03,0.9471886
2025-06-04,0.9481394
2025-06-05,0.94910586
2025-06-06,0.95007896
2025-06-07,0.95105255
2025-06-08,0.95202583
2025-06-09,0.9529928
2025-06-10,0.9539502
2025-06-11,0.9548997
2025-06-12,0.95583856
2025-06-13,0.9567649
2025-06-14,0.95768243
2025-06-15,0.9585901
2025-06-16,0.9594828
2025-06-17,0.9603595
2025-06-18,0.9612219
2025-06-19,0.9620643
2025-06-20,0.96289456
2025-06-21,0.96371657
2025-06-22,0.96452546
2025-06-23,0.96531975
2025-06-24,0.9661024
2025-06-25,0.96687114
