,GBP/EUR
2025-05-27,0.84893125
2025-05-28,0.84888387
2025-05-29,0.8488493
2025-05-30,0.84886444
2025-05-31,0.84891665
2025-06-01,0.8489968
2025-06-02,0.84909743
2025-06-03,0.8492122
2025-06-04,0.8493359
2025-06-05,0.84946537
2025-06-06,0.8495971
2025-06-07,0.8497271
2025-06-08,0.84985423
2025-06-09,0.8499808
2025-06-10,0.8501073
2025-06-11,0.85023314
2025-06-12,0.85035896
2025-06-13,0.85048443
2025-06-14,0.8506074
2025-06-15,0.85072577
2025-06-16,0.8508408
2025-06-17,0.8509541
2025-06-18,0.85106397
2025-06-19,0.85116464
2025-06-20,0.8512587
2025-06-21,0.8513481
2025-06-22,0.8514352
2025-06-23,0.85152054
2025-06-24,0.85160637
2025-06-25,0.8516921
