,USD/EUR
2025-05-27,1.1366447
2025-05-28,1.1381285
2025-05-29,1.1393198
2025-05-30,1.1402793
2025-05-31,1.1410499
2025-06-01,1.1416681
2025-06-02,1.1421622
2025-06-03,1.1425574
2025-06-04,1.1428708
2025-06-05,1.1431167
2025-06-06,1.1433058
2025-06-07,1.1434504
2025-06-08,1.143549
2025-06-09,1.1436132
2025-06-10,1.1436539
2025-06-11,1.1436708
2025-06-12,1.1436656
2025-06-13,1.1436447
2025-06-14,1.143602
2025-06-15,1.1435409
2025-06-16,1.1434729
2025-06-17,1.1434027
2025-06-18,1.1433227
2025-06-19,1.1432316
2025-06-20,1.1431258
2025-06-21,1.1430168
2025-06-22,1.1429094
2025-06-23,1.1428035
2025-06-24,1.142704
2025-06-25,1.1425976
